date,min,max,median,q1,q3,stdev,count
2020-02-24T00:00:00.000Z,4.55,6.78,5.61,5.21,5.98,0.496,302
2020-02-25T00:00:00.000Z,3.2,5.92,4.18,3.82,4.96,0.654,257
2020-02-26T00:00:00.000Z,2.83,11.55,5.4,4.72,6.56,1.844,376
2020-02-27T00:00:00.000Z,1.85,5.96,3.11,2.58,3.66,0.83,530
2020-02-28T00:00:00.000Z,2.54,7.16,4.09,3.44,4.63,0.967,475
2020-02-29T00:00:00.000Z,2.52,6.62,3.79,3.32,4.16,0.621,555
2020-03-01T00:00:00.000Z,2.38,5.26,3.7,3.31,4.15,0.546,541
2020-03-02T00:00:00.000Z,2.12,5.87,3.22,2.67,3.95,0.729,432
2020-03-03T00:00:00.000Z,2.49,5.74,3.7,3.28,4.15,0.596,418
2020-03-04T00:00:00.000Z,2.47,8.48,4.45,3.62,4.95,1.137,574
2020-03-05T00:00:00.000Z,2.75,20.58,5.75,3.92,6.55,2.076,554
2020-03-06T00:00:00.000Z,3.5,65.5,6.73,5.21,8.48,5.604,576
2020-03-07T00:00:00.000Z,2.81,6.94,4.48,3.57,4.97,0.978,557
2020-03-08T00:00:00.000Z,2.7,25.75,10.93,5.71,16.73,6.955,584
2020-03-09T00:00:00.000Z,8.3,20.25,10.76,10.13,12.08,2.62,400
2020-03-10T00:00:00.000Z,10.96,34.2,18.76,16.88,29.1,6.954,580
2020-03-11T00:00:00.000Z,3.26,22.18,4.7,3.88,18.95,7.206,570
2020-03-12T00:00:00.000Z,2.52,4.71,3.44,3.12,4,0.513,346
2020-03-13T00:00:00.000Z,2.29,5.66,4.08,3.52,4.42,0.75,502
2020-03-14T00:00:00.000Z,2.22,5.29,4.03,3.28,4.53,0.7,504
2020-03-15T00:00:00.000Z,4.76,7.71,5.96,5.55,6.31,0.549,287
2020-03-16T00:00:00.000Z,4.84,17.2,8.82,7.57,10.38,3.36,539
2020-03-17T00:00:00.000Z,12.54,20.23,14.31,13.68,15.5,1.7,518
2020-03-18T00:00:00.000Z,6.64,16.23,10.3,8.98,11.24,2,484
2020-03-19T00:00:00.000Z,3.21,11.44,5.56,4.42,6.92,2.123,546
2020-03-20T00:00:00.000Z,2.12,72.72,5.05,4.12,6.77,9.945,454
2020-03-21T00:00:00.000Z,3.2,6.24,4.7,4.12,5.32,0.714,479
2020-03-22T00:00:00.000Z,3.62,7.44,4.75,4.36,6.04,0.971,437
2020-03-23T00:00:00.000Z,4.51,8.3,5.93,5.3,6.74,0.847,421
2020-03-24T00:00:00.000Z,1.95,5.25,3.64,3.25,4.36,0.752,410
2020-03-25T00:00:00.000Z,3.4,5.32,4.43,4.16,4.66,0.383,386
2020-03-26T00:00:00.000Z,2.1,5.85,3.1,2.81,3.44,0.972,358
2020-03-27T00:00:00.000Z,2.4,4.44,3.18,2.92,3.72,0.484,325
2020-03-28T00:00:00.000Z,2.97,4.62,3.66,3.4,4,0.401,179
2020-03-29T00:00:00.000Z,2.27,4.09,3.22,2.96,3.44,0.338,258
2020-03-30T00:00:00.000Z,2.92,3.99,3.44,3.3,3.55,0.209,92
2020-03-31T00:00:00.000Z,2.29,5.68,3.32,3.03,3.64,0.6,233
2020-04-01T00:00:00.000Z,2.92,5.95,3.78,3.42,4.51,0.741,165
2020-04-02T00:00:00.000Z,2.2,4.93,3.76,3.22,4.15,0.651,362
2020-04-03T00:00:00.000Z,2.67,61.18,4.04,3.51,4.74,7.859,419
2020-04-04T00:00:00.000Z,1.8,4.86,3.48,3.16,3.82,0.557,468
2020-04-05T00:00:00.000Z,1.86,5.01,3.16,2.48,4.18,0.89,474
2020-04-06T00:00:00.000Z,1.99,4.4,3.19,2.97,3.51,0.449,442
2020-04-07T00:00:00.000Z,2.82,6.68,3.95,3.69,4.49,0.819,333
2020-04-08T00:00:00.000Z,3.25,9.36,5.74,5.24,7.36,1.462,449
2020-04-09T00:00:00.000Z,3.8,7.6,6.52,6.18,6.88,0.694,291
2020-04-10T00:00:00.000Z,3.49,95.75,7.58,5,8.84,11.666,436
2020-04-11T00:00:00.000Z,2.65,4.34,3.53,3.02,3.84,0.449,110
2020-04-12T00:00:00.000Z,2.91,6.46,4.9,4.34,5.24,0.785,410
2020-04-13T00:00:00.000Z,5.3,14.74,6.99,6.49,7.95,2.447,452
2020-04-14T00:00:00.000Z,5.59,16.82,7.52,6.77,14.29,3.694,513
2020-04-15T00:00:00.000Z,7.06,11.79,8.57,7.9,9.94,1.226,456
2020-04-16T00:00:00.000Z,5.96,9.18,7.73,7.42,8.06,0.497,474
2020-04-17T00:00:00.000Z,5.17,20.76,7.16,6.44,7.68,1.727,494
2020-04-18T00:00:00.000Z,3.92,8.46,5.31,4.71,6.65,1.213,536
2020-04-19T00:00:00.000Z,3.98,8.64,5.9,5.14,6.81,1.129,554
2020-04-20T00:00:00.000Z,4.49,6.93,5.39,5.14,5.63,0.416,515
2020-04-21T00:00:00.000Z,2.74,6.45,4.13,3.65,5.55,0.989,386
2020-04-22T00:00:00.000Z,2.82,6.64,4.37,3.54,4.91,0.924,354
2020-04-23T00:00:00.000Z,3.51,6.42,4.76,4.22,5.32,0.646,456
2020-04-24T00:00:00.000Z,3.49,11.44,7.68,5.28,9.41,2.293,524
2020-04-25T00:00:00.000Z,4.9,10.5,8.33,6.14,8.94,1.466,480
2020-04-26T00:00:00.000Z,4.51,11.98,6.31,5.09,9.94,2.271,509
2020-04-27T00:00:00.000Z,4.9,10.51,7.79,6.87,8.69,1.291,510
2020-04-28T00:00:00.000Z,6.39,10.15,8.41,7.57,9.02,0.874,377
2020-04-29T00:00:00.000Z,3.14,18.84,4.33,3.89,8.53,4.069,516
2020-04-30T00:00:00.000Z,3.03,6.96,4.18,3.82,4.46,0.651,477
2020-05-01T00:00:00.000Z,2.08,4.38,3.35,3.08,3.61,0.409,552
2020-05-02T00:00:00.000Z,2.04,81.37,3.76,3.22,5.3,11.119,537
2020-05-03T00:00:00.000Z,1.79,3.66,2.57,2.38,2.8,0.336,514
2020-05-04T00:00:00.000Z,1.54,3.17,2.02,1.88,2.2,0.277,531
2020-05-05T00:00:00.000Z,1.7,8.39,2.35,2.08,3.03,1.421,459
2020-05-06T00:00:00.000Z,0.93,4.22,2.4,1.9,2.74,0.603,577
2020-05-07T00:00:00.000Z,0.75,6.61,1.2,1.05,1.87,1.129,379
2020-05-08T00:00:00.000Z,0.56,1.92,1.18,1,1.4,0.291,341
2020-05-09T00:00:00.000Z,0.92,3.6,1.58,1.27,2.27,0.674,310
