date	min	max	median	q1	q3	stdev	count
2022-11-22T00:00:00.000Z	7	76.2	19.95	16.2	24.7	12.139	482
2022-11-23T00:00:00.000Z	5.5	37.9	13.9	10.5	20.39	6.825	275
2022-11-24T00:00:00.000Z	7.3	36.9	15.9	14.3	18.3	6.798	298
2022-11-25T00:00:00.000Z	5.3	36.3	10.8	8.9	15.55	7.263	296
2022-11-26T00:00:00.000Z	11.2	48.5	27.15	19.9	32.75	9.571	272
2022-11-28T00:00:00.000Z	4.3	40.4	12.55	9.6	15.5	5.109	350
2022-11-29T00:00:00.000Z	9.5	46.1	19.89	16	24.35	5.717	333
2022-11-30T00:00:00.000Z	22.7	117.2	38.1	33.9	59.7	22.987	431
2022-12-01T00:00:00.000Z	14.7	200.5	51.5	33.1	99.85	40.799	253
2022-12-02T00:00:00.000Z	3.9	30.2	14.9	7.25	19.95	7.173	261
2022-12-03T00:00:00.000Z	3.9	52.3	9.19	6.2	26	14.877	266
2022-12-04T00:00:00.000Z	3.6	26.5	7.9	6.65	16.7	7.175	156
2022-12-05T00:00:00.000Z	10.2	45.1	24.2	18.5	28.8	7.498	249
2022-12-06T00:00:00.000Z	9.8	65.8	31.8	24.15	42.95	12.026	273
2022-12-07T00:00:00.000Z	17.5	49	34	29.2	37.9	5.984	631
2022-12-08T00:00:00.000Z	20.7	77.9	46.6	30.2	53.5	12.955	183
2022-12-09T00:00:00.000Z	15	50	33	30.2	39.2	7.62	363
2022-12-10T00:00:00.000Z	17.7	94.1	48.4	26.9	74.34	23.841	309
2022-12-11T00:00:00.000Z	22.1	62.8	41.85	35.9	45.95	8.753	288
2022-12-12T00:00:00.000Z	17.9	65.5	35.25	27.8	46.75	11.778	332
2022-12-13T00:00:00.000Z	29.3	60.6	46.5	43.8	50.25	5.919	296
2022-12-14T00:00:00.000Z	57.9	177.5	101.7	78.3	128.4	28.781	311
2022-12-15T00:00:00.000Z	32.6	85.3	53.7	49.5	63	11.377	269
2022-12-16T00:00:00.000Z	34.9	120.6	45.6	42.3	85.4	25.837	290
2022-12-17T00:00:00.000Z	5.6	55.8	31.4	25.2	36	9.568	307
2022-12-18T00:00:00.000Z	2.2	61	7.1	3.8	12.7	6.924	525
2022-12-19T00:00:00.000Z	16.3	33.5	22.1	19.6	25.6	4.018	143
2022-12-28T00:00:00.000Z	31.8	65	36.65	34.79	41.7	6.304	270
2022-12-29T00:00:00.000Z	27.8	106.4	52.6	38.6	67.3	18.945	655
2022-12-30T00:00:00.000Z	24.3	104.1	48	36.15	70.9	20.349	657
2022-12-31T00:00:00.000Z	27.6	100.2	39.9	34.2	45.3	15.067	654
2023-01-01T00:00:00.000Z	10.5	48.9	28.3	22	35.9	9.318	657
2023-01-02T00:00:00.000Z	28.1	153.6	49.6	42.2	60.3	20.615	648
2023-01-03T00:00:00.000Z	1.7	54	13.4	9.4	29.8	14.286	654
2023-01-04T00:00:00.000Z	2.4	35.2	11.2	8.6	14.5	6.763	660
2023-01-05T00:00:00.000Z	8.1	34.7	13.8	12.1	17.6	5.706	631
2023-01-06T00:00:00.000Z	5.3	36.9	12.15	10	15.85	6.721	640
2023-01-07T00:00:00.000Z	10.6	36.4	18.55	16.2	21.3	4.267	644
2023-01-08T00:00:00.000Z	20.6	93.7	44	37.2	58.2	14.52	666
2023-01-09T00:00:00.000Z	7.3	119.4	16	11.5	31.8	25.211	655
2023-01-10T00:00:00.000Z	4.5	32.9	10.5	9.3	15	5.507	644
2023-01-11T00:00:00.000Z	6.5	47.1	12.7	10.7	16.1	3.884	639
2023-01-12T00:00:00.000Z	7.1	34	14.6	11.8	17.55	5.848	616
2023-01-13T00:00:00.000Z	18.6	91.9	31.15	27.8	33.79	5.897	634
2023-01-14T00:00:00.000Z	35.8	108.4	47.4	45.15	51.65	7.486	640
2023-01-15T00:00:00.000Z	37	75.4	46.9	44.5	50.1	4.733	651
2023-01-16T00:00:00.000Z	23.1	86.7	40.4	33.1	44	13.902	562
2023-01-17T00:00:00.000Z	21.4	145.9	40.9	30.35	50.95	20.762	653
2023-01-18T00:00:00.000Z	10.3	73.1	40.5	17	48.6	16.792	648
2023-01-19T00:00:00.000Z	23.9	103.5	36.2	31.6	42.2	10.948	656
2023-01-20T00:00:00.000Z	12.5	82.2	41.9	37.6	45.35	10.949	649
2023-01-21T00:00:00.000Z	18.3	326	44.25	36.79	64.55	36.943	640
2023-01-22T00:00:00.000Z	9.5	94.8	30.2	22.2	43.35	17.461	685
2023-01-23T00:00:00.000Z	5.9	96.7	19.8	12.6	35.5	15.285	666
2023-01-24T00:00:00.000Z	3.9	23	11.8	9	14.15	3.564	656
2023-01-25T00:00:00.000Z	7.1	30.5	15.6	11	18.6	4.847	651
