date,min,max,median,q1,q3,stdev,count
2022-11-16T00:00:00.000Z,9.1,60.7,38,30.35,43.35,10.689,512
2022-11-17T00:00:00.000Z,6.4,132.9,37.2,19.1,63.35,30.104,672
2022-11-18T00:00:00.000Z,11.4,86.7,29,23.4,36.4,14.395,635
2022-11-19T00:00:00.000Z,16.6,46.3,32.5,28.7,36.2,6.158,651
2022-11-20T00:00:00.000Z,6,42.2,16.4,12.8,25.1,8.69,654
2022-11-21T00:00:00.000Z,11.8,119.1,50.9,37.7,64.34,19.958,632
2022-11-22T00:00:00.000Z,7.2,86.9,22.3,19,47.15,16.495,628
2022-11-23T00:00:00.000Z,5.6,31.5,15.5,12,18.8,5.034,627
2022-11-24T00:00:00.000Z,7.9,45.6,14.4,12,17.55,3.922,641
2022-11-25T00:00:00.000Z,5.4,16.8,10.1,7.9,12.1,3.034,190
2022-11-29T00:00:00.000Z,12.4,20.9,16.6,14.9,18.35,2.186,68
2022-11-30T00:00:00.000Z,19.2,116,39.1,30.8,62.85,21.161,645
2022-12-01T00:00:00.000Z,1.5,140.2,27.8,11.7,38.9,26.527,585
2022-12-02T00:00:00.000Z,2.4,64.7,17.4,10.6,31.5,13.652,638
2022-12-03T00:00:00.000Z,1,64,8,4.5,19.6,14.013,655
2022-12-04T00:00:00.000Z,0.5,71.3,8.4,6.45,13.4,13.045,672
2022-12-05T00:00:00.000Z,7.4,67.9,27.7,15.6,42,14.75,646
2022-12-06T00:00:00.000Z,8.2,50.6,27.2,21.35,38.65,11.428,644
2022-12-07T00:00:00.000Z,21.2,64,36.1,31.85,40.7,6.707,648
2022-12-08T00:00:00.000Z,8.6,95.5,26.7,19.8,39.9,16.76,615
2022-12-09T00:00:00.000Z,18.5,111,39.04,31.5,50.8,19.42,594
2022-12-10T00:00:00.000Z,17,76.6,29.75,24.4,54.5,18.574,656
2022-12-11T00:00:00.000Z,17,67.6,27.2,22.8,39.85,11.047,649
2022-12-12T00:00:00.000Z,15.4,67.8,36.2,29.3,42.9,10.422,633
2022-12-13T00:00:00.000Z,21.4,181.2,40.4,29.55,46.85,31.442,657
2022-12-14T00:00:00.000Z,28.9,131.9,55,49,89.25,28.043,637
2022-12-15T00:00:00.000Z,20.3,62.8,45,34.7,48.1,8.882,644
2022-12-16T00:00:00.000Z,29.6,118.1,41.9,35.7,54.05,22.884,657
2022-12-17T00:00:00.000Z,1.9,41.7,19.64,5.3,29.9,12.009,634
2022-12-18T00:00:00.000Z,1.1,24.2,4.3,2.4,9.3,4.991,623
2022-12-19T00:00:00.000Z,8.2,73.8,24.4,20,28.6,8.236,650
2022-12-20T00:00:00.000Z,22.3,112.4,40.7,33.1,49.3,21.17,619
